gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1427421845	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Gisborne - Makorori	c58ac019-b413-4613-8772-39e57acbeb8e	-38.66	178.11	30.0				0.5	0.5	2004-03-07T00:00:00Z	7	3	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC1013 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.565Z		
1427421844	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Pourerere - Tuingara Point	c58ac019-b413-4613-8772-39e57acbeb8e	-40.120533	176.874583	30.0				3.0	2.0	2004-01-26T00:00:00Z	26	1	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC815 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.553Z		COORDINATE_ROUNDED
1427421843	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Gisborne - Makorori	c58ac019-b413-4613-8772-39e57acbeb8e	-38.66	178.11	30.0				0.5	0.5	2004-03-07T00:00:00Z	7	3	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC1010 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.566Z		
1427421842	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Gisborne - Makorori	c58ac019-b413-4613-8772-39e57acbeb8e	-38.66	178.11	30.0				0.5	0.5	2004-03-07T00:00:00Z	7	3	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC1051 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.557Z		
1427421841	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Gisborne - Makorori	c58ac019-b413-4613-8772-39e57acbeb8e	-38.66	178.11	30.0				0.5	0.5	2004-03-07T00:00:00Z	7	3	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC1035 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.548Z		
1427421840	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Buller - Cape Foulwind, Three Steeples	c58ac019-b413-4613-8772-39e57acbeb8e	-41.731467	171.469633	30.0				5.0	3.0	2003-04-16T00:00:00Z	16	4	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC525 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.571Z		COORDINATE_ROUNDED
1427421839	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Mangakuri Beach	c58ac019-b413-4613-8772-39e57acbeb8e	-39.96565	176.922133	30.0				0.5	0.5	2004-01-25T00:00:00Z	25	1	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC807 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.560Z		COORDINATE_ROUNDED
1427421838	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Mataikona	c58ac019-b413-4613-8772-39e57acbeb8e	-40.794383	176.266767	30.0				4.0	1.0	2004-01-27T00:00:00Z	27	1	2004	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC694 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.559Z		COORDINATE_ROUNDED
1427421837	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Buller - Cape Foulwind, Three Steeples	c58ac019-b413-4613-8772-39e57acbeb8e	-41.731467	171.469633	30.0				5.0	3.0	2003-04-16T00:00:00Z	16	4	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC520 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.548Z		COORDINATE_ROUNDED
1427421836	8ec73638-2c0b-45b1-a399-be159f3799dc		Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ	Whare North Rocks	c58ac019-b413-4613-8772-39e57acbeb8e	-40.784	172.961283	30.0				8.0	1.0	2003-03-18T00:00:00Z	18	3	2003	9756683	9756683	HUMAN_OBSERVATION	NIWA	MBIS Coralline Algae	NZC517 Mesophyllum erubescens				CC_BY_4_0	NIWA				2018-12-09T23:26:07.584Z		COORDINATE_ROUNDED
